code,onset,offset,code.value
Crawling,00:11:26.975,00:11:39.776,"hk"
Crawling,00:25:33.424,00:25:36.647,"hk"
Crawling,00:26:33.910,00:27:08.383,"hk"
Crawling,00:27:35.038,00:28:04.458,"hk"
Crawling,00:28:09.305,00:28:22.142,"hk"
Crawling,00:28:28.433,00:28:36.308,"hk"
Crawling,00:44:54.634,00:44:59.257,"hk"
Crawling,00:49:09.233,00:49:12.398,"hk"
Crawling,00:49:31.491,00:49:37.506,"hk"
Crawling,00:50:16.149,00:50:23.245,"hk"
R_Initiation,00:11:26.975,00:11:39.776,"c"
R_Initiation,00:25:33.424,00:25:36.647,"c"
R_Initiation,00:26:33.910,00:27:08.383,"c"
R_Initiation,00:28:09.305,00:28:22.142,"c"
R_Initiation,00:44:54.634,00:44:59.257,"c"
R_Initiation,00:49:09.233,00:49:12.398,"c"
L_Initiation,00:27:35.038,00:28:04.458,"c"
L_Initiation,00:28:28.433,00:28:36.308,"c"
L_Initiation,00:49:31.491,00:49:37.506,"c"
L_Initiation,00:50:16.149,00:50:23.245,"c"
