code,onset,offset,code.value
touch_throw,00:00:07.606,00:00:10.913,"touch"
touch_throw,00:00:12.263,00:00:27.335,"touch"
touch_throw,00:01:15.418,00:01:22.009,"touch"
touch_throw,00:01:26.008,00:01:38.955,"touch"
touch_throw,00:01:39.482,00:01:46.861,"touch"
touch_throw,00:01:47.900,00:01:50.465,"touch"
touch_throw,00:01:55.458,00:01:57.435,"touch"
hand_touch,00:00:08.288,00:00:10.403,"rl"
hand_touch,00:00:13.582,00:00:21.283,"r"
hand_touch,00:00:21.462,00:00:23.498,"l"
hand_touch,00:01:18.142,00:01:21.429,"l"
hand_touch,00:01:25.250,00:01:37.775,"l"
hand_touch,00:01:38.132,00:01:42.883,"r"
hand_touch,00:01:43.032,00:01:46.147,"l"
hand_touch,00:01:46.388,00:01:50.227,"l"
hand_touch,00:01:55.513,00:01:56.536,"l"
